date,type,value
9/22/16,groceries,33.53
9/25/16,groceries,8.45
9/26/16,lunch out,3.81
9/28/16,groceries,29.86
9/29/16,groceries,12.24
9/30/16,groceries,5.28
10/3/16,groceries,17.97
10/4/16,breakfast out,8.89
10/6/16,groceries,13
10/7/16,breakfast out,7.03
10/7/16,groceries,4.89
10/7/16,groceries,14.82
10/8/16,groceries,7.67
10/11/16,groceries,23.19
10/11/16,lunch out,3.81
10/12/16,groceries,48.58
10/13/16,groceries,14.85
10/15/16,dinner out,17.31
10/15/16,groceries,39.09
10/19/16,lunch out,3.81
10/20/16,groceries,18.79
10/20/16,groceries,2.49
10/20/16,groceries,11.46
10/22/16,groceries,27.86
10/23/16,groceries,8.88
10/24/16,dinner out,13
10/25/16,groceries,23.4
10/28/16,groceries,19
10/29/16,snack out,1.99
10/30/16,groceries,10
10/31/16,groceries,10.87
11/4/16,groceries,33.82
11/5/16,groceries,16.14
11/6/16,groceries,9.67
11/11/16,groceries,19.55
11/12/16,groceries,38.31
11/13/16,groceries,24.5
11/13/16,groceries,24.5
11/13/16,groceries,10
11/19/16,groceries,9.67
11/20/16,groceries,4
11/21/16,groceries,18.17
11/22/16,groceries,16.2
11/22/16,groceries,35.6
11/23/16,groceries,36.4
11/30/16,groceries,9.57
12/4/16,groceries,37.14
12/7/16,groceries,8.58
12/7/16,groceries,18.88
12/9/16,groceries,12.46
12/9/16,groceries,26.5
12/10/16,groceries,15.95
12/15/16,dinner out,20
12/15/16,dinner out,42
12/16/16,groceries,22.88
12/20/16,groceries,2
12/20/16,groceries,8.88
12/29/16,groceries,31.81
12/29/16,groceries,19.6
12/29/16,groceries,10.5
12/30/16,groceries,41.02
1/1/17,groceries,8.23
1/2/17,groceries,3.8
1/3/17,groceries,9.88
1/4/17,groceries,27.16
1/9/17,groceries,3.54
1/14/17,groceries,12.83
1/14/17,groceries,41.14
1/18/17,groceries,20.12
1/19/17,groceries,13
1/19/17,lunch out,3.81
1/21/17,breakfast out,35
1/21/17,snack out,6.5
1/22/17,groceries,8.38
1/23/17,groceries,26.18
1/24/17,groceries,18.95
1/28/17,coffee,5.74
1/28/17,snack out,5.74
2/1/17,groceries,12.68
2/2/17,groceries,51
2/2/17,groceries,42.58
2/8/17,dinner out,8
2/8/17,lunch out,3.81
2/13/17,groceries,22.48
2/13/17,groceries,6.88
2/14/17,groceries,17.81
2/15/17,groceries,5.85
2/18/17,snack out,5
